index, interest1, score1, interest2, score2, interest3, score3, interest4, score4, interest5, score5
0, Music, 80, Social Media, 90, Health, 37, Art, 11, Life Lessons, 1
1, Entrepreneurship, 21, Life Lessons, 79, Sports, 36, Art, 35, Business, 85
2, Poetry, 80, Design, 35, Technology, 38, Art, 3, Social Media, 49
3, Education, 75, Entrepreneurship, 7, Life, 40, Life Lessons, 0, Travel, 27
4, Poetry, 98, Life Lessons, 22, Entrepreneurship, 64, Technology, 25, Music, 89
5, Travel, 26, Startup, 4, Self Improvement, 47, Art, 17, Poetry, 86
6, Travel, 33, Life, 64, Music, 32, Startup, 4, Politics, 76
7, Poetry, 39, Social Media, 88, Technology, 43, Sports, 40, Politics, 11
8, Business, 1, Technology, 24, Poetry, 11, Education, 92, Life, 37
9, Life, 99, Travel, 90, Music, 89, Self Improvement, 31, Food, 93
10, Health, 37, Life, 63, Technology, 14, Art, 28, Sports, 64
11, Politics, 85, Travel, 33, Music, 64, Business, 3, Design, 11
12, Startup, 23, Self Improvement, 4, Education, 27, Music, 81, Life Lessons, 22
13, Sports, 89, Technology, 65, Writing, 18, Love, 95, Self Improvement, 27
14, Writing, 61, Life, 44, Music, 82, Art, 70, Business, 57
15, Social Media, 57, Entrepreneurship, 32, Business, 66, Education, 87, Life, 38
16, Poetry, 79, Education, 88, Music, 8, Entrepreneurship, 43, Art, 17
17, Sports, 99, Self Improvement, 25, Health, 81, Education, 78, Politics, 21
18, Politics, 51, Entrepreneurship, 77, Health, 4, Social Media, 21, Business, 33
19, Food, 74, Health, 84, Sports, 96, Social Media, 41, Technology, 87
20, Life Lessons, 89, Art, 87, Social Media, 69, Travel, 95, Startup, 36
21, Food, 13, Poetry, 32, Technology, 65, Music, 3, Sports, 50
22, Writing, 52, Social Media, 67, Self Improvement, 82, Poetry, 16, Politics, 78
23, Poetry, 64, Music, 98, Education, 26, Life Lessons, 89, Writing, 80
24, Education, 34, Technology, 8, Self Improvement, 25, Poetry, 69, Social Media, 53
25, Self Improvement, 66, Sports, 28, Entrepreneurship, 20, Health, 82, Business, 88
26, Entrepreneurship, 51, Business, 90, Self Improvement, 34, Health, 25, Sports, 3
27, Social Media, 8, Love, 5, Life Lessons, 65, Food, 51, Health, 22
28, Art, 95, Travel, 57, Health, 74, Politics, 85, Life, 42
29, Life, 16, Education, 73, Music, 8, Social Media, 9, Poetry, 7
30, Technology, 81, Design, 29, Sports, 25, Travel, 60, Love, 58
31, Poetry, 48, Entrepreneurship, 53, Education, 29, Social Media, 42, Food, 83
32, Technology, 24, Life, 68, Self Improvement, 50, Life Lessons, 17, Politics, 42
33, Startup, 97, Poetry, 70, Social Media, 83, Life, 68, Music, 43
34, Entrepreneurship, 29, Sports, 8, Design, 82, Travel, 1, Life, 5
35, Food, 42, Technology, 9, Self Improvement, 61, Writing, 36, Art, 59
36, Self Improvement, 7, Social Media, 99, Politics, 82, Love, 12, Writing, 8
37, Self Improvement, 12, Politics, 95, Poetry, 96, Love, 14, Art, 87
38, Sports, 63, Social Media, 56, Life, 26, Design, 81, Business, 55
39, Life Lessons, 97, Love, 52, Music, 48, Poetry, 94, Sports, 37
40, Travel, 73, Business, 17, Technology, 21, Life Lessons, 15, Startup, 45
41, Art, 43, Design, 36, Food, 67, Life, 92, Music, 21
42, Food, 91, Life Lessons, 15, Business, 95, Love, 60, Entrepreneurship, 77
43, Design, 40, Education, 25, Social Media, 53, Life, 94, Entrepreneurship, 4
44, Sports, 66, Politics, 79, Design, 67, Poetry, 75, Life, 99
45, Business, 53, Startup, 45, Technology, 51, Entrepreneurship, 23, Health, 92
46, Design, 16, Travel, 76, Social Media, 19, Entrepreneurship, 39, Life Lessons, 92
47, Life Lessons, 56, Life, 72, Art, 54, Travel, 62, Health, 86
48, Food, 33, Startup, 28, Music, 29, Entrepreneurship, 36, Education, 55
49, Social Media, 49, Self Improvement, 4, Business, 58, Writing, 50, Education, 12
50, Health, 78, Writing, 14, Music, 46, Travel, 42, Technology, 81
51, Food, 36, Business, 27, Technology, 34, Politics, 38, Entrepreneurship, 62
52, Writing, 52, Social Media, 6, Poetry, 10, Life Lessons, 27, Food, 29
53, Food, 12, Poetry, 33, Social Media, 87, Sports, 19, Design, 52
54, Life, 9, Startup, 50, Education, 51, Self Improvement, 39, Writing, 86
55, Self Improvement, 99, Poetry, 87, Design, 27, Sports, 41, Startup, 46
56, Love, 94, Politics, 29, Design, 35, Life Lessons, 55, Health, 44
57, Technology, 88, Social Media, 98, Love, 20, Self Improvement, 86, Life, 81
58, Music, 73, Design, 56, Politics, 4, Food, 85, Life Lessons, 80
59, Social Media, 94, Business, 43, Technology, 49, Education, 84, Life Lessons, 61
60, Politics, 58, Poetry, 81, Education, 13, Love, 66, Self Improvement, 7
61, Business, 37, Startup, 3, Sports, 35, Poetry, 49, Health, 83
62, Music, 11, Travel, 33, Business, 60, Health, 93, Technology, 99
63, Social Media, 4, Love, 89, Entrepreneurship, 23, Health, 2, Self Improvement, 92
64, Technology, 30, Love, 91, Education, 77, Design, 20, Writing, 1
65, Travel, 79, Art, 26, Education, 4, Writing, 91, Politics, 84
66, Writing, 4, Food, 40, Business, 19, Social Media, 44, Politics, 57
67, Poetry, 31, Art, 80, Sports, 76, Music, 93, Startup, 28
68, Sports, 8, Writing, 52, Startup, 16, Music, 94, Technology, 70
69, Writing, 47, Self Improvement, 35, Entrepreneurship, 58, Health, 64, Education, 64
70, Poetry, 10, Politics, 59, Sports, 97, Business, 72, Life Lessons, 59
71, Education, 84, Art, 94, Poetry, 2, Travel, 2, Health, 62
72, Art, 37, Poetry, 72, Love, 92, Writing, 67, Politics, 96
73, Music, 98, Social Media, 21, Business, 42, Food, 56, Self Improvement, 81
